ID,AVG_ERROR,MAX_ERROR,END_ERROR,E25,E50,E75,E100,NUM_RANK,TERMINATED,,,,,,,,,
233,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
234,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
235,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
236,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
237,0.00375,0.01,0.01,0.01,0,0,0.01,1,2000,,,,,,,,,
238,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
239,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
240,0,0,0,0,0,0,0,1,2000,,,,,,,,,
241,0,0,0,0,0,0,0,1,2000,,,,,,,,,
242,0,0,0,0,0,0,0,1,2000,,,,,,,,,
243,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
244,0.01375,0.1,0,0.1,0.01,0,0,1,2000,,,,,,,,,
245,0.0125623,0.100499,0,0.100499,0,0,0,1,2000,,,,,,,,,
246,0.0176777,0.141421,0,0,0,0,0,1,2000,,,,,,,,,
247,0,0,0,0,0,0,0,1,2000,,,,,,,,,
248,0,0,0,0,0,0,0,1,2000,,,,,,,,,
249,0,0,0,0,0,0,0,1,2000,,,,,,,,,
250,0.00625,0.02,0,0.02,0.01,0,0,1,2000,,,,,,,,,
251,0,0,0,0,0,0,0,1,2000,,,,,,,,,
252,0,0,0,0,0,0,0,1,2000,,,,,,,,,
253,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
254,0.00375,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
255,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
256,0.025,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
257,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
258,0.0125,0.1,0.1,0,0,0,0.1,1,2000,,,,,,,,,
259,0,0,0,0,0,0,0,1,2000,,,,,,,,,
260,0,0,0,0,0,0,0,1,2000,,,,,,,,,
261,0.0125623,0.100499,0,0.100499,0,0,0,1,2000,,,,,,,,,
262,0,0,0,0,0,0,0,1,2000,,,,,,,,,
263,0,0,0,0,0,0,0,1,2000,,,,,,,,,
264,0,0,0,0,0,0,0,1,2000,,,,,,,,,
265,0,0,0,0,0,0,0,1,2000,,,,,,,,,
266,0.0139975,0.10198,0,0.10198,0,0,0,1,2000,,,,,,,,,
267,0.015,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
268,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
269,0,0,0,0,0,0,0,1,2000,,,,,,,,,
270,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
271,0,0,0,0,0,0,0,1,2000,,,,,,,,,
272,0.0125,0.1,0,0,0,0.1,0,1,2000,,,,,,,,,
273,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
274,0.0301777,0.141421,0,0.141421,0,0,0,1,2000,,,,,,,,,
275,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
276,0,0,0,0,0,0,0,1,2000,,,,,,,,,
277,0.00375,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
278,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
279,0.01375,0.1,0,0.01,0,0,0,1,2000,,,,,,,,,
280,0,0,0,0,0,0,0,1,2000,,,,,,,,,
281,0.00375,0.02,0,0.02,0,0.01,0,1,2000,,,,,,,,,
282,0,0,0,0,0,0,0,1,2000,,,,,,,,,
283,0.0426777,0.141421,0,0.141421,0,0,0,1,2000,,,,,,,,,
284,0,0,0,0,0,0,0,1,2000,,,,,,,,,
285,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
286,0,0,0,0,0,0,0,1,2000,,,,,,,,,
287,0,0,0,0,0,0,0,1,2000,,,,,,,,,
288,0,0,0,0,0,0,0,1,2000,,,,,,,,,
289,0.005,0.02,0.01,0.02,0,0,0.01,1,2000,,,,,,,,,
290,0,0,0,0,0,0,0,1,2000,,,,,,,,,
291,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
292,0.0025,0.01,0.01,0.01,0,0,0.01,1,2000,,,,,,,,,
293,0,0,0,0,0,0,0,1,2000,,,,,,,,,
294,0.0075,0.02,0,0.02,0.01,0,0,1,2000,,,,,,,,,
295,0.0275623,0.100499,0,0.01,0.1,0,0,1,2000,,,,,,,,,
296,0.00375,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
297,0.0150623,0.100499,0,0.01,0,0,0,1,2000,,,,,,,,,
298,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
299,0.00625,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
300,0,0,0,0,0,0,0,1,2000,,,,,,,,,
301,0,0,0,0,0,0,0,1,2000,,,,,,,,,
302,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
303,0,0,0,0,0,0,0,1,2000,,,,,,,,,
304,0.00375,0.01,0,0.01,0.01,0,0,1,2000,,,,,,,,,
305,0,0,0,0,0,0,0,1,2000,,,,,,,,,
306,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
307,0.01375,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
308,0,0,0,0,0,0,0,1,2000,,,,,,,,,
309,0.0125,0.1,0.1,0,0,0,0.1,1,2000,,,,,,,,,
310,0,0,0,0,0,0,0,1,2000,,,,,,,,,
311,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
312,0,0,0,0,0,0,0,1,2000,,,,,,,,,
313,0,0,0,0,0,0,0,1,2000,,,,,,,,,
314,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
315,0,0,0,0,0,0,0,1,2000,,,,,,,,,
316,0,0,0,0,0,0,0,1,2000,,,,,,,,,
317,0.00125,0.01,0.01,0,0,0,0.01,1,2000,,,,,,,,,
318,0.0375,0.1,0,0,0,0.1,0,1,2000,,,,,,,,,
319,0.0125,0.1,0,0,0,0.1,0,1,2000,,,,,,,,,
320,0,0,0,0,0,0,0,1,2000,,,,,,,,,
321,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
322,0.00375,0.01,0,0.01,0.01,0,0,1,2000,,,,,,,,,
323,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
324,0.01375,0.1,0,0.1,0.01,0,0,1,2000,,,,,,,,,
325,0,0,0,0,0,0,0,1,2000,,,,,,,,,
326,0,0,0,0,0,0,0,1,2000,,,,,,,,,
327,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
328,0,0,0,0,0,0,0,1,2000,,,,,,,,,
329,0,0,0,0,0,0,0,1,2000,,,,,,,,,
330,0,0,0,0,0,0,0,1,2000,,,,,,,,,
331,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
332,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
333,0.0301777,0.141421,0,0.141421,0,0.1,0,1,2000,,,,,,,,,
334,0,0,0,0,0,0,0,1,2000,,,,,,,,,
335,0.0138123,0.100499,0,0.100499,0,0,0,1,2000,,,,,,,,,
336,0.01375,0.1,0,0.01,0,0,0,1,2000,,,,,,,,,
337,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
338,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
339,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
340,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
341,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
342,0,0,0,0,0,0,0,1,2000,,,,,,,,,
343,0.01375,0.1,0,0.01,0,0,0,1,2000,,,,,,,,,
344,0,0,0,0,0,0,0,1,2000,,,,,,,,,
345,0.0125,0.1,0,0,0,0.1,0,1,2000,,,,,,,,,
346,0,0,0,0,0,0,0,1,2000,,,,,,,,,
347,0.0275,0.1,0,0.01,0,0,0,1,2000,,,,,,,,,
348,0.0125,0.1,0.1,0,0,0,0.1,1,2000,,,,,,,,,
349,0.0138123,0.100499,0,0.100499,0,0.01,0,1,2000,,,,,,,,,
350,0,0,0,0,0,0,0,1,2000,,,,,,,,,
351,0,0,0,0,0,0,0,1,2000,,,,,,,,,
352,0,0,0,0,0,0,0,1,2000,,,,,,,,,
353,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
354,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
355,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
356,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
357,0,0,0,0,0,0,0,1,2000,,,,,,,,,
358,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
359,0,0,0,0,0,0,0,1,2000,,,,,,,,,
360,0,0,0,0,0,0,0,1,2000,,,,,,,,,
361,0.0025,0.01,0.01,0,0,0,0.01,1,2000,,,,,,,,,
362,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
363,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
364,0,0,0,0,0,0,0,1,2000,,,,,,,,,
365,0,0,0,0,0,0,0,1,2000,,,,,,,,,
366,0,0,0,0,0,0,0,1,2000,,,,,,,,,
367,0.0125623,0.100499,0,0.100499,0,0,0,1,2000,,,,,,,,,
368,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
369,0,0,0,0,0,0,0,1,2000,,,,,,,,,
370,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
371,0.03875,0.1,0.1,0,0.1,0,0.1,1,2000,,,,,,,,,
372,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
373,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
374,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
375,0,0,0,0,0,0,0,1,2000,,,,,,,,,
376,0,0,0,0,0,0,0,1,2000,,,,,,,,,
377,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
378,0,0,0,0,0,0,0,1,2000,,,,,,,,,
379,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
380,0,0,0,0,0,0,0,1,2000,,,,,,,,,
381,0.0025,0.01,0,0,0,0,0,1,2000,,,,,,,,,
382,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
383,0,0,0,0,0,0,0,1,2000,,,,,,,,,
384,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
385,0,0,0,0,0,0,0,1,2000,,,,,,,,,
386,0,0,0,0,0,0,0,1,2000,,,,,,,,,
387,0.01375,0.1,0.1,0,0.01,0,0.1,1,2000,,,,,,,,,
388,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
389,0,0,0,0,0,0,0,1,2000,,,,,,,,,
390,0,0,0,0,0,0,0,1,2000,,,,,,,,,
391,0.0177218,0.141774,0,0.141774,0,0,0,1,2000,,,,,,,,,
392,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
393,0,0,0,0,0,0,0,1,2000,,,,,,,,,
394,0.0150623,0.100499,0,0.01,0,0,0,1,2000,,,,,,,,,
395,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
396,0.01625,0.1,0.01,0.01,0.01,0,0.01,1,2000,,,,,,,,,
397,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
398,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
399,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
